account,email,owner,marketplace,session,period,periodOrig,market,target,order,original,supplier,consumer,type,side,units,price,createdDate,lastModifiedDate,16. just time,17. just second,trade,fair value,trade price,mispricing,time secs,buy/sell,vol1,vol2,vol3,vol4,vol5,vol6,vol7,vol8
limpid-josh,M4@bmm,8041,1280,32669,1,32669,2236,NULL,19835194,19835194,19835194,NULL,LIMIT,BUY,1,530,2021-05-26T07:30:30.614,2021-05-26T07:30:30.617,07:30:30.614,07:30:30,0,750,0,#N/A,73.336,1,0,0,0,0,0,0,0,0
limpid-josh,M3@bmm,8040,1280,32669,1,32669,2236,NULL,19835195,19835195,19835195,19835198,LIMIT,SELL,1,695,2021-05-26T07:30:32.654,2021-05-26T07:30:40.608,07:30:32.654,07:30:32,0,750,0,#N/A,75.376,-1,0,0,0,0,0,0,0,0
limpid-josh,M2@bmm,8039,1280,32669,1,32669,2236,NULL,19835196,19835196,19835196,19835202,LIMIT,BUY,1,100,2021-05-26T07:30:32.804,2021-05-26T07:30:46.943,07:30:32.804,07:30:32,0,750,0,#N/A,75.526,1,0,0,0,0,0,0,0,0
limpid-josh,M6@bmm,8043,1280,32669,1,32669,2236,NULL,19835197,19835197,19835197,19835204,LIMIT,BUY,1,605,2021-05-26T07:30:34.883,2021-05-26T07:30:46.996,07:30:34.883,07:30:34,0,750,0,#N/A,77.605,1,0,0,0,0,0,0,0,0
limpid-josh,M7@bmm,8044,1280,32669,1,32669,2236,NULL,19835198,19835198,19835198,19835195,LIMIT,BUY,1,695,2021-05-26T07:30:40.602,2021-05-26T07:30:40.608,07:30:40.602,07:30:40,1,750,695,-55,83.324,1,0,0,0,0,0,0,1,0
limpid-josh,M2@bmm,8039,1280,32669,1,32669,2236,NULL,19835199,19835199,19835199,19835200,LIMIT,BUY,2,100,2021-05-26T07:30:43.443,2021-05-26T07:30:45.619,07:30:43.443,07:30:43,0,750,0,#N/A,86.165,1,0,0,0,0,0,0,0,0
limpid-josh,M2@bmm,8039,1280,32669,1,32669,2236,NULL,19835200,19835199,19835200,19835199,CANCEL,BUY,2,100,2021-05-26T07:30:45.606,2021-05-26T07:30:45.618,07:30:45.606,07:30:45,0,750,0,#N/A,88.328,1,0,0,0,0,0,0,0,0
limpid-josh,M4@bmm,8041,1280,32669,1,32669,2236,NULL,19835201,19835201,19835201,NULL,LIMIT,BUY,1,605,2021-05-26T07:30:46.119,2021-05-26T07:30:46.122,07:30:46.119,07:30:46,0,750,0,#N/A,88.841,1,0,0,0,0,0,0,0,0
limpid-josh,M2@bmm,8039,1280,32669,1,32669,2236,NULL,19835202,19835196,19835202,19835196,CANCEL,BUY,1,100,2021-05-26T07:30:46.937,2021-05-26T07:30:46.943,07:30:46.937,07:30:46,0,750,0,#N/A,89.659,1,0,0,0,0,0,0,0,0
limpid-josh,M8@bmm,8045,1280,32669,1,32669,2236,NULL,19835203,19835203,19835203,0,LIMIT,SELL,1,590,2021-05-26T07:30:46.988,2021-05-26T07:30:46.996,07:30:46.988,07:30:46,0,750,0,#N/A,89.71,-1,0,0,0,0,0,0,0,0
limpid-josh,M8@bmm,8045,1280,32669,1,32669,2236,NULL,19835204,19835203,19835203,19835197,LIMIT,SELL,1,605,2021-05-26T07:30:46.993,2021-05-26T07:30:46.996,07:30:46.993,07:30:46,1,750,605,-145,89.715,-1,0,0,0,0,0,0,0,1
limpid-josh,M6@bmm,8043,1280,32669,1,32669,2236,NULL,19835205,19835205,19835205,19835210,LIMIT,BUY,1,700,2021-05-26T07:30:51.588,2021-05-26T07:31:06.277,07:30:51.588,07:30:51,0,750,0,#N/A,94.31,1,0,0,0,0,0,0,0,0
limpid-josh,M5@bmm,8042,1280,32669,1,32669,2236,NULL,19835206,19835206,19835206,0,LIMIT,BUY,1,735,2021-05-26T07:30:59.166,2021-05-26T07:30:59.175,07:30:59.166,07:30:59,0,750,0,#N/A,101.888,1,0,0,0,0,0,0,0,0
limpid-josh,M5@bmm,8042,1280,32669,1,32669,2236,NULL,19835207,19835206,19835206,19835178,LIMIT,BUY,1,715,2021-05-26T07:30:59.172,2021-05-26T07:30:59.175,07:30:59.172,07:30:59,1,750,715,-35,101.894,1,0,0,0,0,1,0,0,0
limpid-josh,M3@bmm,8040,1280,32669,1,32669,2236,NULL,19835208,19835208,19835208,19835212,LIMIT,BUY,1,610,2021-05-26T07:31:05.145,2021-05-26T07:31:14.231,07:31:05.145,07:31:05,0,750,0,#N/A,107.867,1,0,0,0,0,0,0,0,0
limpid-josh,M7@bmm,8044,1280,32669,1,32669,2236,NULL,19835209,19835209,19835209,0,LIMIT,SELL,1,405,2021-05-26T07:31:06.265,2021-05-26T07:31:06.277,07:31:06.265,07:31:06,0,750,0,#N/A,108.987,-1,0,0,0,0,0,0,0,0
limpid-josh,M7@bmm,8044,1280,32669,1,32669,2236,NULL,19835210,19835209,19835209,19835205,LIMIT,SELL,1,700,2021-05-26T07:31:06.274,2021-05-26T07:31:06.277,07:31:06.274,07:31:06,1,750,700,-50,108.996,-1,0,0,0,0,0,0,1,0
limpid-josh,M6@bmm,8043,1280,32669,1,32669,2236,NULL,19835211,19835211,19835211,NULL,LIMIT,SELL,1,855,2021-05-26T07:31:07.643,2021-05-26T07:31:07.647,07:31:07.643,07:31:07,0,750,0,#N/A,110.365,-1,0,0,0,0,0,0,0,0
limpid-josh,M8@bmm,8045,1280,32669,1,32669,2236,NULL,19835212,19835212,19835212,19835208,LIMIT,SELL,1,610,2021-05-26T07:31:14.222,2021-05-26T07:31:14.231,07:31:14.222,07:31:14,1,750,610,-140,116.944,-1,0,0,0,0,0,0,0,1
limpid-josh,M3@bmm,8040,1280,32669,1,32669,2236,NULL,19835213,19835213,19835213,19835214,LIMIT,BUY,1,610,2021-05-26T07:31:18.622,2021-05-26T07:31:18.723,07:31:18.622,07:31:18,0,750,0,#N/A,121.344,1,0,0,0,0,0,0,0,0
limpid-josh,M2@bmm,8039,1280,32669,1,32669,2236,NULL,19835214,19835214,19835214,19835213,LIMIT,SELL,1,610,2021-05-26T07:31:18.716,2021-05-26T07:31:18.723,07:31:18.716,07:31:18,1,750,610,-140,121.438,-1,0,1,0,0,0,0,0,0
limpid-josh,M4@bmm,8041,1280,32669,1,32669,2236,NULL,19835215,19835215,19835215,NULL,LIMIT,SELL,1,890,2021-05-26T07:31:18.915,2021-05-26T07:31:18.918,07:31:18.915,07:31:18,0,750,0,#N/A,121.637,-1,0,0,0,0,0,0,0,0
limpid-josh,M7@bmm,8044,1280,32669,1,32669,2236,NULL,19835216,19835216,19835216,19835162,LIMIT,BUY,1,745,2021-05-26T07:31:21.801,2021-05-26T07:31:21.809,07:31:21.801,07:31:21,1,750,745,-5,124.523,1,0,0,0,0,0,0,1,0
limpid-josh,M6@bmm,8043,1280,32669,1,32669,2236,NULL,19835217,19835217,19835217,NULL,LIMIT,SELL,1,790,2021-05-26T07:31:23.539,2021-05-26T07:31:23.542,07:31:23.539,07:31:23,0,750,0,#N/A,126.261,-1,0,0,0,0,0,0,0,0
limpid-josh,M3@bmm,8040,1280,32669,1,32669,2236,NULL,19835218,19835218,19835218,19835256,LIMIT,BUY,1,610,2021-05-26T07:31:27.245,2021-05-26T07:32:46.141,07:31:27.245,07:31:27,0,750,0,#N/A,129.967,1,0,0,0,0,0,0,0,0
limpid-josh,M5@bmm,8042,1280,32669,1,32669,2236,NULL,19835219,19835219,19835219,NULL,LIMIT,SELL,1,800,2021-05-26T07:31:29.799,2021-05-26T07:31:29.802,07:31:29.799,07:31:29,0,750,0,#N/A,132.521,-1,0,0,0,0,0,0,0,0
limpid-josh,M6@bmm,8043,1280,32669,1,32669,2236,NULL,19835220,19835220,19835220,19835251,LIMIT,SELL,1,765,2021-05-26T07:31:31.092,2021-05-26T07:32:36.003,07:31:31.092,07:31:31,0,750,0,#N/A,133.814,-1,0,0,0,0,0,0,0,0
limpid-josh,M8@bmm,8045,1280,32669,1,32669,2236,NULL,19835221,19835221,19835221,19835271,LIMIT,BUY,1,555,2021-05-26T07:31:31.265,2021-05-26T07:33:18.128,07:31:31.265,07:31:31,0,750,0,#N/A,133.987,1,0,0,0,0,0,0,0,0
limpid-josh,M4@bmm,8041,1280,32669,1,32669,2236,NULL,19835222,19835222,19835222,NULL,LIMIT,BUY,1,685,2021-05-26T07:31:33.891,2021-05-26T07:31:33.894,07:31:33.891,07:31:33,0,750,0,#N/A,136.613,1,0,0,0,0,0,0,0,0
limpid-josh,M1@bmm,8038,1280,32669,1,32669,2236,NULL,19835223,19835223,19835223,19835282,LIMIT,BUY,1,620,2021-05-26T07:31:34.237,2021-05-26T07:33:38.993,07:31:34.237,07:31:34,0,750,0,#N/A,136.959,1,0,0,0,0,0,0,0,0
limpid-josh,M2@bmm,8039,1280,32669,1,32669,2236,NULL,19835224,19835224,19835224,19835230,LIMIT,BUY,1,25,2021-05-26T07:31:37.798,2021-05-26T07:31:52.203,07:31:37.798,07:31:37,0,750,0,#N/A,140.52,1,0,0,0,0,0,0,0,0
limpid-josh,M4@bmm,8041,1280,32669,1,32669,2236,NULL,19835225,19835225,19835225,NULL,LIMIT,BUY,1,635,2021-05-26T07:31:42.771,2021-05-26T07:31:42.774,07:31:42.771,07:31:42,0,750,0,#N/A,145.493,1,0,0,0,0,0,0,0,0
limpid-josh,M8@bmm,8045,1280,32669,1,32669,2236,NULL,19835226,19835226,19835226,19835228,LIMIT,SELL,1,700,2021-05-26T07:31:43.699,2021-05-26T07:31:45.258,07:31:43.699,07:31:43,0,750,0,#N/A,146.421,-1,0,0,0,0,0,0,0,0
limpid-josh,M7@bmm,8044,1280,32669,1,32669,2236,NULL,19835227,19835227,19835227,0,LIMIT,BUY,1,765,2021-05-26T07:31:45.246,2021-05-26T07:31:45.258,07:31:45.246,07:31:45,0,750,0,#N/A,147.968,1,0,0,0,0,0,0,0,0
limpid-josh,M7@bmm,8044,1280,32669,1,32669,2236,NULL,19835228,19835227,19835227,19835226,LIMIT,BUY,1,700,2021-05-26T07:31:45.253,2021-05-26T07:31:45.258,07:31:45.253,07:31:45,1,750,700,-50,147.975,1,0,0,0,0,0,0,1,0
limpid-josh,M4@bmm,8041,1280,32669,1,32669,2236,NULL,19835229,19835229,19835229,NULL,LIMIT,BUY,1,635,2021-05-26T07:31:51.124,2021-05-26T07:31:51.128,07:31:51.124,07:31:51,0,750,0,#N/A,153.846,1,0,0,0,0,0,0,0,0
limpid-josh,M2@bmm,8039,1280,32669,1,32669,2236,NULL,19835230,19835224,19835230,19835224,CANCEL,BUY,1,25,2021-05-26T07:31:52.196,2021-05-26T07:31:52.203,07:31:52.196,07:31:52,0,750,0,#N/A,154.918,1,0,0,0,0,0,0,0,0
limpid-josh,M8@bmm,8045,1280,32669,1,32669,2236,NULL,19835231,19835231,19835231,19835239,LIMIT,SELL,1,760,2021-05-26T07:31:55.214,2021-05-26T07:32:11.090,07:31:55.214,07:31:55,0,750,0,#N/A,157.936,-1,0,0,0,0,0,0,0,0
limpid-josh,M4@bmm,8041,1280,32669,1,32669,2236,NULL,19835232,19835232,19835232,NULL,LIMIT,BUY,1,655,2021-05-26T07:31:55.916,2021-05-26T07:31:55.918,07:31:55.916,07:31:55,0,750,0,#N/A,158.638,1,0,0,0,0,0,0,0,0
limpid-josh,M3@bmm,8040,1280,32669,1,32669,2236,NULL,19835233,19835233,19835233,19835242,LIMIT,SELL,1,760,2021-05-26T07:31:58.734,2021-05-26T07:32:17.155,07:31:58.734,07:31:58,0,750,0,#N/A,161.456,-1,0,0,0,0,0,0,0,0
limpid-josh,M7@bmm,8044,1280,32669,1,32669,2236,NULL,19835234,19835234,19835234,19835245,LIMIT,SELL,1,760,2021-05-26T07:32:00.065,2021-05-26T07:32:24.689,07:32:00.065,07:32:00,0,750,0,#N/A,162.787,-1,0,0,0,0,0,0,0,0
limpid-josh,M2@bmm,8039,1280,32669,1,32669,2236,NULL,19835235,19835235,19835235,19835237,LIMIT,BUY,1,590,2021-05-26T07:32:00.363,2021-05-26T07:32:07.468,07:32:00.363,07:32:00,0,750,0,#N/A,163.085,1,0,0,0,0,0,0,0,0
limpid-josh,M7@bmm,8044,1280,32669,1,32669,2236,NULL,19835236,19835189,19835236,19835189,CANCEL,SELL,1,775,2021-05-26T07:32:06.756,2021-05-26T07:32:06.762,07:32:06.756,07:32:06,0,750,0,#N/A,169.478,-1,0,0,0,0,0,0,0,0
limpid-josh,M2@bmm,8039,1280,32669,1,32669,2236,NULL,19835237,19835235,19835237,19835235,CANCEL,BUY,1,590,2021-05-26T07:32:07.462,2021-05-26T07:32:07.468,07:32:07.462,07:32:07,0,750,0,#N/A,170.184,1,0,0,0,0,0,0,0,0
